GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,AFR,Africa,,SEN,Senegal,,FMLE,Female,,0.2 [0.2-0.2],0.2,0.2,0.2,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,AFR,Africa,,SEN,Senegal,,BTSX,Both sexes,,0.7 [0.7-0.8],0.7,0.7,0.8,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,AFR,Africa,,SEN,Senegal,,MLE,Male,,1.3 [1.2-1.4],1.3,1.2,1.4,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,AFR,Africa,,SYC,Seychelles,,FMLE,Female,,4.1 [4-4.3],4.1,4,4.3,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,AFR,Africa,,SLE,Sierra Leone,,BTSX,Both sexes,,6 [5.7-6.3],6,5.7,6.3,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,AFR,Africa,,NER,Niger,,MLE,Male,,0.5 [0.5-0.6],0.5,0.5,0.6,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,AFR,Africa,,NER,Niger,,BTSX,Both sexes,,0.3 [0.3-0.3],0.3,0.3,0.3,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,AFR,Africa,,NAM,Namibia,,FMLE,Female,,3.7 [3.5-3.9],3.7,3.5,3.9,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,AFR,Africa,,MOZ,Mozambique,,MLE,Male,,4.3 [4.1-4.5],4.3,4.1,4.5,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,AFR,Africa,,MLI,Mali,,BTSX,Both sexes,,1.1 [1-1.1],1.1,1,1.1,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,AFR,Africa,,MWI,Malawi,,FMLE,Female,,1 [0.9-1],1,0.9,1,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,AFR,Africa,,MDG,Madagascar,,BTSX,Both sexes,,1.9 [1.8-2.1],1.9,1.8,2.1,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,AFR,Africa,,MDG,Madagascar,,FMLE,Female,,0.5 [0.5-0.6],0.5,0.5,0.6,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,AFR,Africa,,GNB,Guinea-Bissau,,MLE,Male,,7.3 [6.9-7.6],7.3,6.9,7.6,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,AFR,Africa,,GNB,Guinea-Bissau,,BTSX,Both sexes,,4.2 [4-4.4],4.2,4,4.4,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,AFR,Africa,,GHA,Ghana,,MLE,Male,,4.7 [4.4-4.9],4.7,4.4,4.9,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,AFR,Africa,,GHA,Ghana,,BTSX,Both sexes,,2.7 [2.5-2.8],2.7,2.5,2.8,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,AFR,Africa,,ERI,Eritrea,,FMLE,Female,,0.3 [0.3-0.4],0.3,0.3,0.4,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,AFR,Africa,,ERI,Eritrea,,MLE,Male,,2 [1.8-2.1],2,1.8,2.1,,,
