,Country,2018,2017_x,2016_x,2015,2016_y,2017_y
0,Finland,7.63,7.47,7.41,7.41,0.905,0.905
1,Norway,7.59,7.54,7.5,7.52,0.915,0.915
2,Denmark,7.56,7.52,7.53,7.53,0.92,0.92
3,Iceland,7.5,7.5,7.5,7.56,0.912,0.912
4,Switzerland,7.49,7.49,7.51,7.59,0.897,0.897
5,Netherlands,7.44,7.38,7.34,7.38,0.905,0.9059999999999999
6,Canada,7.33,7.32,7.4,7.43,0.894,0.899
7,New Zealand,7.32,7.31,7.33,7.29,0.917,0.917
8,Sweden,7.31,7.28,7.29,7.36,0.904,0.904
9,Australia,7.27,7.28,7.31,7.28,0.929,0.929
10,Israel,7.19,7.21,7.27,7.28,0.8740000000000001,0.8740000000000001
11,Austria,7.14,7.01,7.12,7.2,0.852,0.852
12,Costa Rica,7.07,7.08,7.09,7.23,0.715,0.7190000000000001
13,Ireland,6.98,6.98,6.91,6.94,0.9179999999999999,0.9179999999999999
14,Germany,6.96,6.95,6.99,6.75,0.94,0.94
15,Belgium,6.93,6.89,6.93,6.94,0.893,0.893
16,Luxembourg,6.91,6.86,6.87,6.95,0.792,0.792
17,United States,6.89,6.99,7.1,7.12,0.903,0.903
18,United Kingdom,6.81,6.71,6.72,6.87,0.914,0.914
19,United Arab Emirates,6.77,6.65,6.57,6.9,0.738,0.738
20,Czech Republic,6.71,6.61,6.6,6.5,0.893,0.893
21,Malta,6.63,6.53,6.49,6.3,0.818,0.818
22,France,6.49,6.44,6.48,6.58,0.84,0.84
23,Mexico,6.49,6.58,6.78,7.19,0.6779999999999999,0.6779999999999999
24,Chile,6.48,6.65,6.7,6.67,0.8,0.8
25,Panama,6.43,6.45,6.7,6.79,0.687,0.6920000000000001
26,Brazil,6.42,6.64,6.95,6.98,0.6859999999999999,0.6859999999999999
27,Argentina,6.39,6.6,6.65,6.57,0.8140000000000001,0.816
28,Guatemala,6.38,6.45,6.32,6.12,0.514,0.514
29,Uruguay,6.38,6.45,6.54,6.48,0.733,0.733
30,Qatar,6.37,6.38,6.38,6.61,0.698,0.698
31,Saudi Arabia,6.37,6.34,6.38,6.41,0.787,0.787
32,Singapore,6.34,6.57,6.74,6.8,0.83,0.8320000000000001
33,Malaysia,6.32,6.08,6.0,5.77,0.7190000000000001,0.7190000000000001
34,Spain,6.31,6.4,6.36,6.33,0.8240000000000001,0.8240000000000001
35,Colombia,6.26,6.36,6.48,6.48,0.6759999999999999,0.6759999999999999
36,Slovakia,6.17,6.1,6.08,6.0,0.831,0.831
37,El Salvador,6.17,6.0,6.07,6.13,0.58,0.58
38,Nicaragua,6.14,6.07,5.99,5.83,0.5579999999999999,0.5579999999999999
39,Poland,6.12,5.97,5.84,5.79,0.862,0.866
40,Bahrain,6.1,6.09,6.22,5.96,0.758,0.758
41,Uzbekistan,6.1,5.97,5.99,6.0,0.708,0.718
42,Kuwait,6.08,6.11,6.24,6.3,0.618,0.62
43,Thailand,6.07,6.42,6.47,6.46,0.65,0.6609999999999999
44,Italy,6.0,5.96,5.98,5.95,0.7909999999999999,0.7909999999999999
45,Ecuador,5.97,6.01,5.98,5.98,0.695,0.6970000000000001
46,Lithuania,5.95,5.9,5.81,5.83,0.879,0.879
47,Slovenia,5.95,5.76,5.77,5.85,0.887,0.8859999999999999
48,Romania,5.94,5.82,5.53,5.12,0.762,0.762
49,Latvia,5.93,5.85,5.56,5.1,0.866,0.866
50,Japan,5.92,5.92,5.92,5.99,0.846,0.848
51,Mauritius,5.89,5.63,5.65,5.48,0.7290000000000001,0.7290000000000001
52,Jamaica,5.89,5.31,5.51,5.71,0.69,0.69
53,South Korea,5.88,5.84,5.84,5.98,0.862,0.862
54,Russia,5.81,5.96,5.86,5.72,0.8320000000000001,0.8320000000000001
55,Kazakhstan,5.79,5.82,5.92,5.86,0.809,0.8140000000000001
56,Cyprus,5.76,5.62,5.55,5.69,0.8079999999999999,0.8079999999999999
57,Bolivia,5.75,5.82,5.82,5.89,0.6829999999999999,0.687
58,Estonia,5.74,5.61,5.52,5.43,0.868,0.8690000000000001
59,Paraguay,5.68,5.49,5.54,5.88,0.631,0.631
60,Peru,5.66,5.72,5.74,5.82,0.688,0.6890000000000001
61,Kosovo,5.66,5.28,5.4,5.59,,
62,Moldova,5.64,5.84,5.9,5.89,0.71,0.71
63,Turkmenistan,5.64,5.82,5.66,5.55,0.629,0.626
64,Hungary,5.62,5.32,5.14,4.8,0.815,0.815
65,Libya,5.57,5.53,5.62,5.75,0.616,0.616
66,Philippines,5.52,5.43,5.28,5.07,0.6609999999999999,0.6609999999999999
67,Honduras,5.5,5.18,4.87,4.79,0.502,0.502
68,Belarus,5.48,5.57,5.8,5.81,0.838,0.838
69,Turkey,5.48,5.5,5.39,5.33,0.6890000000000001,0.6890000000000001
70,Pakistan,5.47,5.27,5.13,5.19,0.41100000000000003,0.41100000000000003
71,Portugal,5.41,5.2,5.12,5.1,0.759,0.759
72,Serbia,5.4,5.39,5.18,5.12,0.778,0.778
73,Greece,5.36,5.23,5.03,4.86,0.838,0.838
74,Tajikistan,5.36,5.04,5.0,4.79,0.66,0.659
75,Montenegro,5.35,5.24,5.16,5.19,0.79,0.79
76,Croatia,5.32,5.29,5.49,5.76,0.7909999999999999,0.7909999999999999
77,Dominican Republic,5.3,5.23,5.16,4.88,0.643,0.643
78,Algeria,5.3,5.87,6.36,5.6,0.6629999999999999,0.664
79,Morocco,5.25,5.24,5.15,5.01,0.525,0.529
80,China,5.25,5.27,5.24,5.14,0.644,0.644
81,Azerbaijan,5.2,5.23,5.29,5.21,0.7090000000000001,0.7090000000000001
82,Lebanon,5.2,5.22,5.13,4.84,0.634,0.637
83,Macedonia,5.18,5.18,5.12,5.01,0.691,0.691
84,Jordan,5.16,5.34,5.3,5.19,0.711,0.711
85,Nigeria,5.16,5.07,4.88,5.27,0.483,0.483
86,Kyrgyzstan,5.13,5.0,5.18,5.29,0.735,0.735
87,Bosnia and Herzegovina,5.13,5.18,5.16,4.95,0.718,0.718
88,Mongolia,5.12,4.95,4.91,4.87,0.7659999999999999,0.7659999999999999
89,Vietnam,5.1,5.07,5.06,5.36,0.621,0.626
90,Indonesia,5.09,5.26,5.31,5.4,0.622,0.622
91,Bhutan,5.08,5.01,5.2,5.25,0.446,0.445
