Continent1,Continent2,T-stat,P-Value
Asia,Africa,5.9158700269044235,6.982500154769264e-08
Asia,Europe,-4.035393624409173,0.0001228587034443203
Asia,North America,-3.1472079832897126,0.004529000756136746
Asia,South America,-5.144240960069263,1.3548112996627097e-05
Asia,Oceania,-15.412266583908957,1.123141112528302e-19
Africa,Europe,-9.890326534477616,5.691728848063625e-15
Africa,North America,-7.060102853585882,9.020138430035228e-07
Africa,South America,-11.506332922646385,4.376831494725699e-11
Africa,Oceania,-29.023302941693945,1.0012811201884807e-29
Europe,North America,-0.2308427710477785,0.8192955220630782
Europe,South America,-0.8473777753053748,0.4024745697005866
Europe,Oceania,-8.282010068982244,3.733539911500903e-10
North America,South America,-0.37821082290250263,0.7090289888135712
North America,Oceania,-4.825740159352397,0.0002665059692320183
South America,Oceania,-7.82979204658973,1.3274584098131272e-05
