,Country,Disaster rate
0, Qatar,0.74%
1, Malta,0.60%
2, Saudi Arabia,1.14%
3, Barbados,1.32%
4, Grenada,1.42%
5, Iceland,1.52%
6, Bahrain,1.69%
7, Kiribati,1.78%
8, United Arab Emirates,1.97%
9, Sweden,2.12%
10, Norway,2.19%
11, Finland,2.21%
12, Singapore,2.27%
13, Egypt,2.29%
14, Israel/ Palestine,2.30%
15, Estonia,2.36%
16,  Switzerland,2.37%
17, Luxembourg,2.43%
18, Seychelles,2.55%
19, France,2.62%
20, Oman,2.64%
21, Cyprus,2.68%
22, Denmark,2.89%
23, Lithuania,2.92%
24, Germany,2.95%
25, Ukraine,2.97%
26, Canada,3.01%
27, Spain,3.05%
28, Belgium,3.07%
29, Mongolia,3.08%
30, Belarus,3.11%
31, Poland,3.20%
32, Kuwait,3.28%
33, Latvia,3.31%
34, Czech Republic,3.37%
35, Slovakia,3.39%
36, Austria,3.39%
37, Slovenia,3.41%
38, Portugal,3.45%
39, Paraguay,3.48%
40, United Kingdom,3.54%
41, Kazakhstan,3.56%
42, Argentina,3.56%
43, Russia,3.58%
44, United States,3.76%
45, Libya,3.79%
46, Croatia,3.97%
47, Uruguay,4.03%
48, Brazil,4.09%
49, Bahamas,4.14%
50, Australia,4.22%
51, Bulgaria,4.22%
52, Italy,4.42%
53, Equatorial Guinea,4.46%
54, Iraq,4.49%
55, New Zealand,4.55%
56, Jordan,4.58%
57, Bolivia,4.58%
58, South Korea,4.59%
59, Ireland,4.60%
60, Iran,4.73%
61, Moldova,4.79%
62, Lebanon,5.01%
63,   Nepal,5.12%
64, Botswana,5.14%
65, Turkey,5.20%
66, Hungary,5.32%
67, Namibia,5.37%
68, Tunisia,5.40%
69, Azerbaijan,5.54%
70, South Africa,5.58%
71, Laos,5.59%
72, Syria,5.69%
73, Macedonia,5.87%
74, Romania,5.92%
75, Venezuela,5.93%
76, Mexico,5.97%
77, Yemen,5.97%
78, Gabon,6.04%
79, Armenia,6.07%
80, Bosnia and Herzegovina,6.10%
81, Cuba,6.13%
82, Thailand,6.19%
83, Georgia,6.27%
84, Eritrea,6.35%
85, Malaysia,6.39%
86, China,6.39%
87, Turkmenistan,6.44%
88, Colombia,6.45%
89, Morocco,6.45%
90, Angola,6.52%
91, Uganda,6.52%
92, Belize,6.55%
93, Peru,6.59%
94, India,6.64%
95, Greece,6.70%
96, Tajikistan,6.72%
97, Kenya,6.77%
98, Lesotho,6.84%
99, Pakistan,6.96%
100, Central African Republic,7.03%
101, Ethiopia,7.04%
102, Rwanda,7.09%
103, Serbia,7.12%
104, Congo,7.19%
105, Zambia,7.25%
106, Panama,7.26%
107, Comoros,7.29%
108, Sri Lanka,7.32%
109, Algeria,7.36%
110, Trinidad and Tobago,7.50%
111, Bhutan,7.51%
112, Swaziland,7.52%
113, Ecuador,7.53%
114, Tanzania,7.65%
115, Liberia,7.84%
116, Kyrgyzstan,7.86%
117, Mauritania,7.95%
118, Malawi,7.98%
119, Nigeria,7.98%
120, Sudan,7.99%
121, Guinea,8.20%
122, Netherlands,8.24%
123, Mali,8.39%
124, Ghana,8.39%
125, Suriname,8.44%
126, Uzbekistan,8.59%
127, Mozambique,8.69%
128, Cote d'Ivoire,8.88%
129, Myanmar,8.90%
130, Afghanistan,9.50%
131, Albania,9.50%
132, Burkina Faso,9.54%
133, Zimbabwe,10.06%
134, Sierra Leone,10.21%
135, Indonesia,10.24%
136, Burundi,10.28%
137, Djibouti,10.30%
138, Togo,10.36%
139, Senegal,10.38%
140, Cape Verde,10.39%
141, Honduras,10.68%
142, Chad,10.85%
143, Cameroon,10.91%
144, Dominican Republic,10.96%
145, Madagascar,11.15%
146, Niger,11.24%
147, Guyana,11.39%
148, Benin,11.39%
149, Chile,11.65%
150, Haiti,11.68%
151, Jamaica,11.83%
152, Gambia,12.07%
153, Vietnam,12.53%
154, Japan,12.99%
155, Fiji,13.15%
156, Guinea-Bissau,13.56%
157, Nicaragua,14.62%
158, Mauritius,15.53%
159, Timor-Leste,15.69%
160, El Salvador,16.05%
161, Papua New Guinea,16.43%
162, Cambodia,16.58%
163, Costa Rica,17.00%
164, Brunei,17.00%
165, Solomon Islands,19.14%
166, Bangladesh,19.17%
167, Guatemala,19.88%
168, Philippines,26.70%
169, Tonga,29.33%
170, Vanuatu,36.28%
171, Samoa,—
