Country,2016,2017
Afghanistan,0.41,0.415
Albania,0.742,0.745
Algeria,0.663,0.664
Andorra,0.714,0.714
Angola,0.487,0.498
Antigua and Barbuda,0.676,0.676
Argentina,0.814,0.816
Armenia,0.749,0.749
Australia,0.929,0.929
Austria,0.852,0.852
Azerbaijan,0.709,0.709
Bahamas,0.726,0.726
Bahrain,0.758,0.758
Bangladesh,0.49,0.508
Barbados,0.777,0.777
Belarus,0.838,0.838
Belgium,0.893,0.893
Belize,0.705,0.705
Benin,0.471,0.471
Bhutan,0.446,0.445
Bolivia,0.683,0.687
Bosnia and Herzegovina,0.718,0.718
Botswana,0.659,0.659
Brazil,0.686,0.686
Brunei Darussalam,0.704,0.704
Bulgaria,0.805,0.805
Burkina Faso,0.285,0.286
Burundi,0.424,0.424
Cabo Verde,0.555,0.555
Cambodia,0.483,0.487
Cameroon,0.547,0.547
Canada,0.894,0.899
Central African Republic,0.341,0.341
Chad,0.298,0.298
Chile,0.8,0.8
China,0.644,0.644
Colombia,0.676,0.676
Comoros,0.473,0.473
Congo,0.526,0.526
Congo (Brazzaville),0.486,0.496
Costa Rica,0.715,0.719
Croatia,0.791,0.791
Cuba,0.774,0.78
Cyprus,0.808,0.808
Czech Republic,0.893,0.893
Cote d'Ivoire,0.421,0.424
Denmark,0.92,0.92
Djibouti,0.309,0.309
Dominica,0.616,0.613
Dominican Republic,0.643,0.643
Ecuador,0.695,0.697
Egypt,0.604,0.604
El Salvador,0.58,0.58
Equatorial Guinea,0.443,0.443
Eritrea,0.279,0.281
Estonia,0.868,0.869
Eswatini (Kingdom of),0.528,0.528
Ethiopia,0.325,0.327
Fiji,0.785,0.785
Finland,0.905,0.905
France,0.84,0.84
Gabon,0.621,0.628
Gambia,0.368,0.372
Georgia,0.845,0.845
Germany,0.94,0.94
Ghana,0.558,0.558
Greece,0.838,0.838
Grenada,0.758,0.758
Guatemala,0.514,0.514
Guinea,0.339,0.339
Guinea-Bissau,0.392,0.392
Guyana,0.596,0.596
Haiti,0.428,0.433
Honduras,0.502,0.502
"Hong Kong, China (SAR)",0.855,0.855
Hungary,0.815,0.815
Iceland,0.912,0.912
India,0.556,0.556
Indonesia,0.622,0.622
Iran,0.741,0.741
Iraq,0.502,0.534
Ireland,0.918,0.918
Israel,0.874,0.874
Italy,0.791,0.791
Jamaica,0.69,0.69
Japan,0.846,0.848
Jordan,0.711,0.711
Kazakhstan,0.809,0.814
Kenya,0.543,0.551
Kiribati,0.62,0.62
South Korea,0.862,0.862
Kuwait,0.618,0.62
Kyrgyzstan,0.735,0.735
Lao People's Democratic Republic,0.485,0.485
Latvia,0.866,0.866
Lebanon,0.634,0.637
Lesotho,0.502,0.502
Liberia,0.43,0.434
Libya,0.616,0.616
Liechtenstein,0.827,0.827
Lithuania,0.879,0.879
Luxembourg,0.792,0.792
Madagascar,0.498,0.498
Malawi,0.45,0.451
Malaysia,0.719,0.719
Maldives,0.56,0.56
Mali,0.287,0.293
Malta,0.818,0.818
Marshall Islands,,0.723
Mauritania,0.385,0.389
Mauritius,0.729,0.729
Mexico,0.678,0.678
Micronesia (Federated States of),0.592,0.59
Moldova,0.71,0.71
Mongolia,0.766,0.766
Montenegro,0.79,0.79
Morocco,0.525,0.529
Mozambique,0.385,0.385
Myanmar,0.44,0.443
Namibia,0.569,0.571
Nepal,0.502,0.502
Netherlands,0.905,0.906
New Zealand,0.917,0.917
Nicaragua,0.558,0.558
Niger,0.212,0.214
Nigeria,0.483,0.483
Norway,0.915,0.915
Oman,0.706,0.706
Pakistan,0.411,0.411
Palau,0.837,0.844
Palestinian Territories,0.66,0.66
Panama,0.687,0.692
Papua New Guinea,0.429,0.43
Paraguay,0.631,0.631
Peru,0.688,0.689
Philippines,0.661,0.661
Poland,0.862,0.866
Portugal,0.759,0.759
Qatar,0.698,0.698
Romania,0.762,0.762
Russia,0.832,0.832
Rwanda,0.45,0.45
Saint Kitts and Nevis,0.674,0.68
Saint Lucia,0.676,0.676
Saint Vincent and the Grenadines,0.655,0.655
Samoa,0.692,0.692
Sao Tome and Principe,0.546,0.557
Saudi Arabia,0.787,0.787
Senegal,0.361,0.368
Serbia,0.778,0.778
Seychelles,0.724,0.727
Sierra Leone,0.382,0.39
Singapore,0.83,0.832
Slovakia,0.831,0.831
Slovenia,0.887,0.886
Solomon Islands,0.465,0.469
South Africa,0.708,0.708
South Sudan,0.297,0.297
Spain,0.824,0.824
Sri Lanka,0.749,0.749
Sudan,0.326,0.328
Suriname,0.636,0.636
Sweden,0.904,0.904
Switzerland,0.897,0.897
Syria,0.412,0.412
Tajikistan,0.66,0.659
Tanzania,0.441,0.441
Thailand,0.65,0.661
Macedonia,0.691,0.691
Timor-Leste,0.505,0.505
Togo,0.506,0.506
Tonga,0.769,0.77
Trinidad and Tobago,0.722,0.722
Tunisia,0.656,0.659
Turkey,0.689,0.689
Turkmenistan,0.629,0.626
Uganda,0.504,0.525
Ukraine,0.794,0.794
United Arab Emirates,0.738,0.738
United Kingdom,0.914,0.914
United States,0.903,0.903
Uruguay,0.733,0.733
Uzbekistan,0.708,0.718
Vanuatu,0.529,0.529
Venezuela,0.733,0.741
Vietnam,0.621,0.626
Yemen,0.349,0.349
Zambia,0.58,0.58
Zimbabwe,0.558,0.558
