,Country,Number of internet users
0,Afghanistan,3672058
1,Albania,1942025
2,Algeria,17438483
3,Angola,3745750
4,Antigua and Barbuda,73703
5,Argentina,31118074
6,Armenia,1882003
7,Aruba,98053
8,Australia,21288325
9,Austria,7346364
10,Azerbaijan,7605244
11,Bahamas,312986
12,Bahrain,1396667
13,Bangladesh,29733670
14,Barbados,226713
15,Belarus,6741547
16,Belgium,9826872
17,Belize,163572
18,Benin,1304029
19,Bhutan,333248
20,Bolivia,4322219
21,Bosnia and Herzegovina,2119233
22,Botswana,885770
23,Brazil,126403573
24,Brunei,380876
25,Bulgaria,4266455
26,Burkina Faso,2603042
27,Burundi,544479
28,Cambodia,5106764
29,Cameroon,5859797
30,Canada,33081802
31,Cape Verde,271522
32,Central African Republic,183785
33,Chad,722627
34,Chile,14965390
35,China,746662194
36,Colombia,28285392
37,Comoros,63157
38,Congo,416317
39,Costa Rica,3207196
40,Cote d'Ivoire,9765088
41,Croatia,3062930
42,Cuba,4932377
43,Curacao,98580
44,Cyprus,888129
45,Czech Republic,8115380
46,Democratic Republic of Congo,4889495
47,Denmark,5538674
48,Djibouti,123775
49,Dominican Republic,6801383
50,Ecuador,8858247
51,Egypt,39469731
52,El Salvador,1839784
53,Equatorial Guinea,290470
54,Eritrea,58322
55,Estonia,1144939
56,Ethiopia,15736221
57,Fiji,417986
58,Finland,4826448
59,France,51304091
60,French Polynesia,191776
61,Gabon,951332
62,Gambia,377123
63,Georgia,2326195
64,Germany,73434128
65,Ghana,9778145
66,Greece,7726596
67,Grenada,59943
68,Guam,125446
69,Guatemala,5722498
70,Guinea,1214801
71,Guinea-Bissau,68296
72,Guyana,275760
73,Haiti,1326911
74,Honduras,2733860
75,Hong Kong,6388370
76,Hungary,7730392
77,Iceland,326623
78,India,391255067
79,Indonesia,66453884
80,Iran,42729084
81,Iraq,7898106
82,Ireland,4017692
83,Israel,6525047
84,Italy,36444965
85,Jamaica,1278367
86,Japan,119039541
87,Jordan,5891172
88,Kazakhstan,13416643
89,Kenya,8044620
90,Kiribati,15672
91,Kuwait,3175904
92,Kyrgyzstan,2054728
93,Laos,1478052
94,Latvia,1573312
95,Lebanon,4571675
96,Lesotho,602965
97,Liberia,337691
98,Libya,1275778
99,Lithuania,2163058
100,Luxembourg,565019
101,Macao,499791
102,Macedonia,1501732
103,Madagascar,1173445
104,Malawi,2075104
105,Malaysia,24571919
106,Maldives,252772
107,Mali,1999620
108,Malta,331851
109,Mauritania,774183
110,Mauritius,658723
111,Mexico,75938137
112,Micronesia (country),34999
113,Moldova,2882322
114,Mongolia,674073
115,Montenegro,439287
116,Morocco,20556219
117,Mozambique,5051281
118,Myanmar,13260073
119,Namibia,769538
120,Nepal,5706349
121,Netherlands,15358408
122,New Zealand,4123448
123,Nicaragua,1511150
124,Niger,893643
125,Nigeria,47743541
126,Norway,5112723
127,Oman,3400430
128,Pakistan,29974665
129,Palestine,2930876
130,Panama,2178424
131,Papua New Guinea,776284
132,Paraguay,3591314
133,Peru,14444940
134,Philippines,57342723
135,Poland,28018760
136,Portugal,7304070
137,Puerto Rico,2517649
138,Qatar,2423097
139,Romania,11768741
140,Russia,105225728
141,Rwanda,2383502
142,Saint Lucia,83185
143,Saint Vincent and the Grenadines,60934
144,Samoa,57390
145,Sao Tome and Principe,55975
146,Saudi Arabia,24168034
147,Senegal,3955355
148,Seychelles,53253
149,Sierra Leone,870767
150,Singapore,4748163
151,Slovakia,4381283
152,Slovenia,1568755
153,Solomon Islands,65941
154,Somalia,269178
155,South Africa,30248355
156,South Korea,47156754
157,South Sudan,816980
158,Spain,37338225
159,Sri Lanka,6666125
160,Sub-Saharan Africa,197652432
161,Sudan,11082072
162,Suriname,253499
163,Swaziland,383770
164,Sweden,8819442
165,Switzerland,7488864
166,Tajikistan,1788044
167,Tanzania,7224386
168,Thailand,32713589
169,Timor,320292
170,Togo,860281
171,Tonga,42795
172,Trinidad and Tobago,1000475
173,Tunisia,5656011
174,Turkey,46393699
175,Turkmenistan,1018710
176,Uganda,9075978
177,Ukraine,23552471
178,United Arab Emirates,8398269
179,United Kingdom,62351648
180,United States,245425910
181,United States Virgin Islands,62537
182,Uruguay,2286820
183,Uzbekistan,14714360
184,Vanuatu,64896
185,Venezuela,18940907
186,Vietnam,43974618
187,World,3419398061
188,Yemen,6779981
189,Zambia,4231896
190,Zimbabwe,3733962
