Country,Population Density
Aruba,582.6222222
Afghanistan,54.19711424
Angola,23.13506377
Albania,104.9671898
Andorra,164.4617021
Arab World,35.96876433
United Arab Emirates,131.8076598
Argentina,15.92813508
Armenia,103.1312259
American Samoa,278.705
Antigua and Barbuda,214.8340909
Australia,3.1449355310000002
Austria,105.86949340000001
Azerbaijan,118.033289
Burundi,408.4111371
Belgium,374.22133419999994
Benin,96.41776339
Burkina Faso,68.15196637
Bangladesh,1213.573327
Bulgaria,65.65790346
Bahrain,1832.636175
"Bahamas, The",37.75534466
Bosnia and Herzegovina,66.13802734
Belarus,46.8083514
Belize,16.15081105
Bermuda,1195.4629419999999
Bolivia,10.18352534
Brazil,24.66614079
Barbados,664.6418605
Brunei Darussalam,79.65844402
Bhutan,19.31388997
Botswana,3.81123992
Central African Republic,7.283840572999999
Canada,3.970907493
Central Europe and the Baltics,93.20299539
Switzerland,211.8974034
Channel Islands,843.0454869999999
Chile,24.48995771
China,146.85067759999998
Cote d'Ivoire,74.91419497
Cameroon,50.61568192
"Congo, Dem. Rep.",34.75403145
"Congo, Rep.",14.58564861
Colombia,43.41720775
Comoros,427.50777750000003
Cabo Verde,131.7980149
Costa Rica,95.9527027
Caribbean small states,17.95575151
Cuba,108.97047679999999
Curacao,359.60360360000004
Cayman Islands,260.7041667
Cyprus,126.64361470000001
Czech Republic,136.8341362
Germany,235.71292940000004
Djibouti,40.0824849
Dominica,95.07600000000001
Denmark,136.4136699
Dominican Republic,215.22962119999997
Algeria,17.02595749
East Asia & Pacific (excluding high income),129.017303
Early-demographic dividend,95.60124429999999
East Asia & Pacific,94.21395048
Europe & Central Asia (excluding high income),18.27239042
Europe & Central Asia,33.229176
Ecuador,66.40004429
"Egypt, Arab Rep.",94.87877041
Euro area,127.14693600000001
Eritrea,
Spain,93.04827901
Estonia,30.2689211
Ethiopia,103.603501
European Union,120.60756940000002
Fragile and conflict affected situations,38.14054369
Finland,18.08200783
Fiji,47.75035577
France,122.10558710000001
Faroe Islands,34.50787815
"Micronesia, Fed. Sts.",157.45
Gabon,7.792420537999999
United Kingdom,271.134481
Georgia,65.21405578
Ghana,125.17335849999999
Gibraltar,3373.7
Guinea,47.77161403
"Gambia, The",212.36551380000003
Guinea-Bissau,63.38680654
Equatorial Guinea,43.32188948
Greece,83.5994647
Grenada,324.2970588
Greenland,0.136888781
Guatemala,154.7504666
Guam,301.7611111
Guyana,3.9185471169999997
High income,34.09689091
"Hong Kong SAR, China",6987.238095000001
Honduras,82.85633211
Heavily indebted poor countries (HIPC),42.48783785
Croatia,74.59522873
Haiti,393.32256889999996
Hungary,108.40630729999998
IBRD only,67.56654470000001
IDA & IBRD total,67.02501853
IDA total,65.45707036
IDA blend,89.22348963
Indonesia,144.3798617
IDA only,57.59575862
Isle of Man,146.11754390000002
India,445.4843414
Not classified,
Ireland,69.0279431
"Iran, Islamic Rep.",48.84944129
Iraq,84.33142147
Iceland,3.3460249380000002
Israel,394.9168207
Italy,206.1178282
Jamaica,268.3506925
Jordan,107.58579640000002
Japan,348.350096
Kazakhstan,6.591123088
Kenya,86.18562392
Kyrgyz Republic,31.69708029
Cambodia,89.31731815
Kiribati,138.9185185
St. Kitts and Nevis,198.5576923
"Korea, Rep.",525.6562786000001
Kuwait,222.0467452
Latin America & Caribbean (excluding high income),31.41077269
Lao PDR,29.66137782
Lebanon,656.0235582
Liberia,47.62030731
Libya,3.6896938969999997
St. Lucia,295.12131150000005
Latin America & Caribbean,31.40020075
Least developed countries: UN classification,54.24313284
Low income,49.08792224
Liechtenstein,235.3625
