Country,Population Total
Aruba,104872.0
Afghanistan,35383128.0
Angola,28842484.0
Albania,2876101.0
Andorra,77297.0
Arab World,404024433.0
United Arab Emirates,9360980.0
Argentina,43590368.0
Armenia,2936146.0
American Samoa,55741.0
Antigua and Barbuda,94527.0
Australia,24190907.0
Austria,8736668.0
Azerbaijan,9757812.0
Burundi,10487998.0
Belgium,11331422.0
Benin,10872067.0
Burkina Faso,18646378.0
Bangladesh,157970840.0
Bulgaria,7127822.0
Bahrain,1425791.0
"Bahamas, The",377931.0
Bosnia and Herzegovina,3386267.0
Belarus,9501534.0
Belize,368400.0
Bermuda,64555.0
Bolivia,11031813.0
Brazil,206163058.0
Barbados,285796.0
Brunei Darussalam,419800.0
Bhutan,736709.0
Botswana,2159944.0
Central African Republic,4537687.0
Canada,36109487.0
Central Europe and the Baltics,102994343.0
Switzerland,8373338.0
Channel Islands,166923.0
Chile,18209068.0
China,1378665000.0
Cote d'Ivoire,23822714.0
Cameroon,23926539.0
"Congo, Dem. Rep.",78789127.0
"Congo, Rep.",4980999.0
Colombia,48171392.0
Comoros,795592.0
Cabo Verde,531146.0
Costa Rica,4899345.0
Caribbean small states,7269386.0
Cuba,11335109.0
Curacao,159664.0
Cayman Islands,62569.0
Cyprus,1170187.0
Czech Republic,10566332.0
Germany,82348669.0
Djibouti,929112.0
Dominica,71307.0
Denmark,5728010.0
Dominican Republic,10397743.0
Algeria,40551404.0
East Asia & Pacific (excluding high income),2053116851.0
Early-demographic dividend,3165142287.0
East Asia & Pacific,2298514046.0
Europe & Central Asia (excluding high income),413361214.0
Europe & Central Asia,911812364.0
Ecuador,16491115.0
"Egypt, Arab Rep.",94447072.0
Euro area,340616924.0
Eritrea,
Spain,46483569.0
Estonia,1315790.0
Ethiopia,103603501.0
European Union,511218529.0
Fragile and conflict affected situations,493290951.0
Finland,5495303.0
Fiji,872399.0
France,66859768.0
Faroe Islands,48173.0
"Micronesia, Fed. Sts.",110215.0
Gabon,2007873.0
United Kingdom,65595565.0
Georgia,3727505.0
Ghana,28481946.0
Gibraltar,33737.0
Guinea,11738441.0
"Gambia, The",2149139.0
Guinea-Bissau,1782437.0
Equatorial Guinea,1215179.0
Greece,10775971.0
Grenada,110261.0
Greenland,56186.0
Guatemala,16583060.0
Guam,162951.0
Guyana,771366.0
High income,1198350350.0
"Hong Kong SAR, China",7336600.0
Honduras,9270795.0
Heavily indebted poor countries (HIPC),738387254.0
Croatia,4174349.0
Haiti,10839970.0
Hungary,9814023.0
IBRD only,4687686335.0
IDA & IBRD total,6256138021.0
IDA total,1568451686.0
IDA blend,531399044.0
Indonesia,261554226.0
IDA only,1037052642.0
Isle of Man,83287.0
India,1324509589.0
Not classified,
Ireland,4755335.0
"Iran, Islamic Rep.",79564016.0
Iraq,36610632.0
Iceland,335439.0
Israel,8546000.0
Italy,60627498.0
Jamaica,2906238.0
Jordan,9551467.0
Japan,126994511.0
Kazakhstan,17794055.0
Kenya,49051686.0
Kyrgyz Republic,6079500.0
Cambodia,15766293.0
Kiribati,112524.0
St. Kitts and Nevis,51625.0
"Korea, Rep.",51245707.0
Kuwait,3956873.0
Latin America & Caribbean (excluding high income),597399287.0
Lao PDR,6845846.0
Lebanon,6711121.0
Liberia,4586788.0
Libya,6492164.0
St. Lucia,180024.0
Latin America & Caribbean,629240066.0
Least developed countries: UN classification,963511276.0
Low income,670117389.0
Liechtenstein,37658.0
Sri Lanka,21203000.0
Lower middle income,2939830821.0
Low & middle income,6227752871.0
Lesotho,2075001.0
