,Country,Users,Population
0,Afghanistan,3672058.0,35383128.0
1,Albania,1942025.0,2876101.0
2,Algeria,17438483.0,40551404.0
3,Angola,3745750.0,28842484.0
4,Antigua and Barbuda,73703.0,94527.0
5,Argentina,31118074.0,43590368.0
6,Armenia,1882003.0,2936146.0
7,Aruba,98053.0,104872.0
8,Australia,21288325.0,24190907.0
9,Austria,7346364.0,8736668.0
10,Azerbaijan,7605244.0,9757812.0
11,Bahrain,1396667.0,1425791.0
12,Bangladesh,29733670.0,157970840.0
13,Barbados,226713.0,285796.0
14,Belarus,6741547.0,9501534.0
15,Belgium,9826872.0,11331422.0
16,Belize,163572.0,368400.0
17,Benin,1304029.0,10872067.0
18,Bhutan,333248.0,736709.0
19,Bolivia,4322219.0,11031813.0
20,Bosnia and Herzegovina,2119233.0,3386267.0
21,Botswana,885770.0,2159944.0
22,Brazil,126403573.0,206163058.0
23,Bulgaria,4266455.0,7127822.0
24,Burkina Faso,2603042.0,18646378.0
25,Burundi,544479.0,10487998.0
26,Cambodia,5106764.0,15766293.0
27,Cameroon,5859797.0,23926539.0
28,Canada,33081802.0,36109487.0
29,Central African Republic,183785.0,4537687.0
30,Chad,722627.0,14561666.0
31,Chile,14965390.0,18209068.0
32,China,746662194.0,1378665000.0
33,Colombia,28285392.0,48171392.0
34,Comoros,63157.0,795592.0
35,Costa Rica,3207196.0,4899345.0
36,Cote d'Ivoire,9765088.0,23822714.0
37,Croatia,3062930.0,4174349.0
38,Cuba,4932377.0,11335109.0
39,Curacao,98580.0,159664.0
40,Cyprus,888129.0,1170187.0
41,Czech Republic,8115380.0,10566332.0
42,Denmark,5538674.0,5728010.0
43,Djibouti,123775.0,929112.0
44,Dominican Republic,6801383.0,10397743.0
45,Ecuador,8858247.0,16491115.0
46,El Salvador,1839784.0,6356143.0
47,Equatorial Guinea,290470.0,1215179.0
48,Estonia,1144939.0,1315790.0
49,Ethiopia,15736221.0,103603501.0
50,Fiji,417986.0,872399.0
51,Finland,4826448.0,5495303.0
52,France,51304091.0,66859768.0
53,French Polynesia,191776.0,274575.0
54,Gabon,951332.0,2007873.0
55,Georgia,2326195.0,3727505.0
56,Germany,73434128.0,82348669.0
57,Ghana,9778145.0,28481946.0
58,Greece,7726596.0,10775971.0
59,Grenada,59943.0,110261.0
60,Guam,125446.0,162951.0
61,Guatemala,5722498.0,16583060.0
62,Guinea,1214801.0,11738441.0
63,Guinea-Bissau,68296.0,1782437.0
64,Guyana,275760.0,771366.0
65,Haiti,1326911.0,10839970.0
66,Honduras,2733860.0,9270795.0
