Rank,Countries,2016,2013,2012,2011
1, Qatar,0.74%,0.11%,0.10%,0.02%
2, Malta,0.60%,0.61%,0.61%,0.72%
3, Saudi Arabia,1.14%,1.32%,1.31%,1.26%
4, Barbados,1.32%,1.16%,1.15%,2.44%
5, Grenada,1.42%,1.44%,1.46%,2.29%
6, Iceland,1.52%,1.55%,1.53%,1.56%
7, Bahrain,1.69%,1.81%,1.81%,1.66%
8, Kiribati,1.78%,1.78%,1.78%,1.88%
9, United Arab Emirates,1.97%,2.10%,2.07%,4.09%
10, Sweden,2.12%,2.26%,2.15%,2.00%
11, Norway,2.19%,2.35%,2.31%,2.28%
12, Finland,2.21%,2.28%,2.24%,2.06%
13, Singapore,2.27%,2.49%,2.54%,2.85%
14, Egypt,2.29%,2.34%,2.33%,2.38%
15, Israel/ Palestine,2.30%,2.49%,2.43%,2.60%
16, Estonia,2.36%,2.52%,2.50%,2.25%
17,  Switzerland,2.37%,2.61%,2.59%,2.55%
18, Luxembourg,2.43%,2.68%,2.65%,2.70%
19, Seychelles,2.55%,2.58%,2.60%,2.68%
20, France,2.62%,2.79%,2.78%,2.76%
21, Oman,2.64%,2.74%,2.72%,2.80%
22, Cyprus,2.68%,2.77%,2.81%,3.46%
23, Denmark,2.89%,3.10%,3.09%,2.86%
24, Lithuania,2.92%,3.18%,3.23%,2.89%
25, Germany,2.95%,3.24%,3.27%,2.96%
26, Ukraine,2.97%,3.14%,3.19%,3.02%
27, Canada,3.01%,3.18%,3.18%,2.57%
28, Spain,3.05%,3.38%,3.40%,3.29%
29, Belgium,3.07%,3.42%,3.48%,3.51%
30, Mongolia,3.08%,3.10%,3.24%,3.43%
31, Belarus,3.11%,3.31%,3.32%,2.98%
32, Poland,3.20%,3.46%,3.53%,3.42%
33, Kuwait,3.28%,3.70%,3.71%,3.71%
34, Latvia,3.31%,3.48%,3.51%,3.09%
35, Czech Republic,3.37%,3.61%,3.67%,4.15%
36, Slovakia,3.39%,3.63%,3.69%,3.38%
37, Austria,3.39%,3.80%,3.75%,3.41%
38, Slovenia,3.41%,3.69%,3.81%,3.72%
39, Portugal,3.45%,3.80%,3.82%,3.62%
40, Paraguay,3.48%,3.85%,3.84%,4.12%
41, United Kingdom,3.54%,3.71%,3.65%,3.61%
42, Kazakhstan,3.56%,3.84%,3.87%,4.04%
43, Argentina,3.56%,3.76%,3.80%,3.77%
44, Russia,3.58%,3.78%,3.83%,3.56%
45, United States,3.76%,3.99%,3.99%,3.72%
46, Libya,3.79%,3.93%,3.80%,3.67%
47, Croatia,3.97%,4.24%,4.35%,3.71%
48, Uruguay,4.03%,4.09%,4.12%,3.94%
49, Brazil,4.09%,4.26%,4.30%,4.26%
50, Bahamas,4.14%,3.99%,4.17%,4.52%
51, Australia,4.22%,4.51%,4.57%,4.28%
52, Bulgaria,4.22%,4.43%,4.56%,4.08%
53, Italy,4.42%,4.88%,4.82%,4.74%
54, Equatorial Guinea,4.46%,4.49%,4.47%,6.72%
55, Iraq,4.49%,4.83%,4.95%,5.77%
56, New Zealand,4.55%,4.69%,4.44%,4.28%
57, Jordan,4.58%,4.88%,4.90%,5.13%
58, Bolivia,4.58%,5.08%,5.13%,5.16%
59, South Korea,4.59%,4.94%,4.89%,4.14%
60, Ireland,4.60%,4.69%,4.50%,4.15%
61, Iran,4.73%,4.92%,4.98%,5.11%
62, Moldova,4.79%,5.05%,5.23%,4.78%
63, Lebanon,5.01%,5.05%,5.10%,5.01%
64,   Nepal,5.12%,5.53%,5.69%,6.15%
65, Botswana,5.14%,5.37%,5.21%,5.56%
66, Turkey,5.20%,5.52%,5.68%,5.38%
67, Hungary,5.32%,5.69%,5.87%,5.49%
68, Namibia,5.37%,5.68%,5.72%,6.63%
69, Tunisia,5.40%,5.90%,5.90%,5.72%
70, Azerbaijan,5.54%,6.19%,6.25%,5.86%
71, South Africa,5.58%,5.80%,5.90%,5.71%
72, Laos,5.59%,5.71%,5.73%,5.80%
73, Syria,5.69%,5.67%,5.68%,6.19%
74, Macedonia,5.87%,6.28%,6.10%,6.80%
75, Romania,5.92%,6.61%,6.78%,6.43%
76, Venezuela,5.93%,6.16%,6.13%,6.11%
77, Mexico,5.97%,6.39%,6.39%,6.53%
78, Yemen,5.97%,6.03%,5.98%,6.83%
79, Gabon,6.04%,5.93%,6.20%,6.30%
80, Armenia,6.07%,6.91%,7.05%,6.36%
81, Bosnia and Herzegovina,6.10%,6.42%,6.63%,6.25%
82, Cuba,6.13%,6.51%,6.55%,5.99%
83, Thailand,6.19%,6.34%,6.44%,6.86%
84, Georgia,6.27%,6.83%,6.75%,6.97%
85, Eritrea,6.35%,6.35%,6.44%,7.22%
86, Malaysia,6.39%,6.45%,6.53%,6.69%
87, China,6.39%,6.97%,7.04%,6.90%
88, Turkmenistan,6.44%,6.57%,6.64%,7.18%
89, Colombia,6.45%,6.90%,6.89%,6.86%
90, Morocco,6.45%,7.13%,7.21%,7.17%
91, Angola,6.52%,6.45%,6.56%,8.02%
92, Uganda,6.52%,6.69%,6.75%,7.57%
93, Belize,6.55%,6.62%,6.63%,5.93%
94, Peru,6.59%,7.02%,6.96%,7.82%
95, India,6.64%,7.17%,7.28%,7.68%
96, Greece,6.70%,7.38%,7.81%,8.27%
97, Tajikistan,6.72%,7.35%,7.40%,7.47%
98, Kenya,6.77%,7.08%,7.18%,7.24%
99, Lesotho,6.84%,7.09%,7.22%,7.86%
100, Pakistan,6.96%,7.21%,7.25%,7.84%
101, Central African Republic,7.03%,6.57%,6.55%,6.95%
102, Ethiopia,7.04%,7.36%,7.35%,7.09%
103, Rwanda,7.09%,7.43%,7.60%,8.68%
104, Serbia,7.12%,7.53%,7.67%,5.44%
105, Congo,7.19%,7.57%,7.38%,7.71%
106, Zambia,7.25%,7.46%,7.44%,8.41%
107, Panama,7.26%,7.49%,7.69%,7.70%
108, Comoros,7.29%,7.52%,7.45%,6.93%
109, Sri Lanka,7.32%,7.67%,7.79%,7.84%
110, Algeria,7.36%,8.13%,8.15%,8.06%
111, Trinidad and Tobago,7.50%,7.65%,7.68%,6.70%
112, Bhutan,7.51%,7.98%,8.17%,13.65%
113, Swaziland,7.52%,7.65%,7.84%,7.37%
114, Ecuador,7.53%,7.77%,7.94%,8.69%
115, Tanzania,7.65%,7.99%,8.11%,8.64%
116, Liberia,7.84%,7.71%,7.86%,9.20%
117, Kyrgyzstan,7.86%,8.43%,8.50%,8.48%
118, Mauritania,7.95%,8.26%,8.43%,9.70%
119, Malawi,7.98%,8.02%,8.18%,8.99%
120, Nigeria,7.98%,8.32%,8.28%,9.03%
121, Sudan,7.99%,7.87%,7.88%,9.25%
122, Guinea,8.20%,8.32%,8.55%,9.49%
123, Netherlands,8.24%,8.76%,8.49%,7.71%
124, Mali,8.39%,8.65%,8.76%,11.51%
125, Ghana,8.39%,8.81%,8.85%,9.35%
126, Suriname,8.44%,8.55%,8.62%,9.25%
127, Uzbekistan,8.59%,8.66%,8.71%,9.37%
128, Mozambique,8.69%,8.89%,9.09%,9.98%
129, Cote d'Ivoire,8.88%,8.86%,9.00%,9.03%
130, Myanmar,8.90%,9.10%,9.15%,8.54%
131, Afghanistan,9.50%,9.93%,9.79%,14.06%
132, Albania,9.50%,10.01%,9.96%,9.98%
133, Burkina Faso,9.54%,9.72%,9.74%,11.58%
134, Zimbabwe,10.06%,9.96%,9.87%,9.63%
135, Sierra Leone,10.21%,10.37%,10.58%,11.25%
136, Indonesia,10.24%,10.54%,10.74%,11.69%
137, Burundi,10.28%,10.46%,10.49%,11.56%
138, Djibouti,10.30%,9.84%,9.96%,7.05%
139, Togo,10.36%,10.34%,10.64%,10.40%
140, Senegal,10.38%,10.99%,11.08%,11.76%
141, Cape Verde,10.39%,10.80%,10.88%,9.47%
142, Honduras,10.68%,10.91%,11.02%,12.10%
143, Chad,10.85%,11.06%,11.13%,12.25%
144, Cameroon,10.91%,11.09%,10.96%,14.46%
145, Dominican Republic,10.96%,11.28%,11.63%,12.00%
146, Madagascar,11.15%,11.23%,11.50%,10.27%
147, Niger,11.24%,11.62%,11.93%,14.03%
148, Guyana,11.39%,11.65%,11.77%,9.02%
149, Benin,11.39%,11.32%,11.42%,10.90%
150, Chile,11.65%,12.28%,12.26%,11.97%
151, Haiti,11.68%,11.88%,11.96%,11.45%
152, Jamaica,11.83%,12.15%,12.15%,12.89%
153, Gambia,12.07%,11.71%,11.84%,13.90%
154, Vietnam,12.53%,12.81%,12.88%,11.21%
155, Japan,12.99%,13.56%,13.69%,13.57%
156, Fiji,13.15%,14.10%,13.53%,11.13%
157, Guinea-Bissau,13.56%,13.09%,13.34%,13.12%
158, Nicaragua,14.62%,15.18%,15.39%,11.91%
159, Mauritius,15.53%,14.89%,15.36%,15.74%
160, Timor-Leste,15.69%,16.37%,17.13%,17.45%
161, El Salvador,16.05%,16.85%,16.89%,16.49%
162, Papua New Guinea,16.43%,15.90%,15.81%,15.45%
163, Cambodia,16.58%,16.90%,17.17%,16.58%
164, Costa Rica,17.00%,16.94%,17.38%,16.74%
165, Brunei,17.00%,15.58%,15.92%,14.08%
166, Solomon Islands,19.14%,18.11%,18.15%,23.51%
167, Bangladesh,19.17%,19.81%,20.22%,17.45%
168, Guatemala,19.88%,20.88%,20.75%,20.88%
169, Philippines,26.70%,27.52%,27.98%,24.32%
170, Tonga,29.33%,28.23%,28.62%,29.08%
171, Vanuatu,36.28%,36.43%,36.31%,3.73%
173, Samoa,—,4.51%,4.51%,7.88%
