Country Name,GDP (US$)
Aruba,2646927374
Afghanistan,19362642267
Angola,1.01E+11
Albania,11861352705
Andorra,2877311947
Arab World,2.51E+12
United Arab Emirates,3.57E+11
Argentina,5.58E+11
Armenia,10546135160
American Samoa,653000000
Antigua and Barbuda,1464630213
Australia,1.21E+12
Austria,3.94E+11
Azerbaijan,37867518957
Burundi,2959185295
Belgium,4.70E+11
Benin,8573159697
Burkina Faso,10886363727
Bangladesh,2.21E+11
Bulgaria,53240950226
Bahrain,32250132979
"Bahamas, The",11838800000
Bosnia and Herzegovina,16913330694
Belarus,47722657821
Belize,1806646250
Bermuda,
Bolivia,33941126194
Brazil,1.80E+12
Barbados,4529050000
Brunei Darussalam,11400653949
Bhutan,2219675781
Botswana,15646323341
Central African Republic,1844714795
Canada,1.53E+12
Central Europe and the Baltics,1.32E+12
Switzerland,6.70E+11
Channel Islands,
Chile,2.50E+11
China,1.11E+13
Cote d'Ivoire,35296979104
Cameroon,32621535419
"Congo, Dem. Rep.",37134799974
"Congo, Rep.",9035848071
Colombia,2.83E+11
Comoros,1024261821
Cabo Verde,1662998678
Costa Rica,57157995873
Caribbean small states,67183921136
Cuba,91370000000
Curacao,3122287933
Cayman Islands,
Cyprus,20453761062
Czech Republic,1.95E+11
Germany,3.50E+12
Djibouti,1764268469
Dominica,575468234.4
Denmark,3.12E+11
Dominican Republic,72342967648
Algeria,1.60E+11
East Asia & Pacific (excluding high income),1.35E+13
Early-demographic dividend,1.05E+13
East Asia & Pacific,2.24E+13
Europe & Central Asia (excluding high income),2.96E+12
Europe & Central Asia,2.04E+13
Ecuador,99937696000
"Egypt, Arab Rep.",3.33E+11
Euro area,1.20E+13
Eritrea,
Spain,1.24E+12
Estonia,23984296771
Ethiopia,74271281811
European Union,1.66E+13
Fragile and conflict affected situations,7.43E+11
Finland,2.39E+11
Fiji,4926740194
France,2.47E+12
Faroe Islands,2689157271
"Micronesia, Fed. Sts.",329895600
Gabon,14014369642
United Kingdom,2.66E+12
Georgia,14378036929
Ghana,55009730589
Gibraltar,
Guinea,8604520929
"Gambia, The",1442298542
Guinea-Bissau,1178204501
Equatorial Guinea,11233177619
Greece,1.95E+11
