Country Name,Country Code,Population density (people per sq. km of land area)
Aruba,ABW,582.6222222
Afghanistan,AFG,54.19711424
Angola,AGO,23.13506377
Albania,ALB,104.9671898
Andorra,AND,164.4617021
Arab World,ARB,35.96876433
United Arab Emirates,ARE,131.8076598
Argentina,ARG,15.92813508
Armenia,ARM,103.1312259
American Samoa,ASM,278.705
Antigua and Barbuda,ATG,214.8340909
Australia,AUS,3.144935531
Austria,AUT,105.8694934
Azerbaijan,AZE,118.033289
Burundi,BDI,408.4111371
Belgium,BEL,374.2213342
Benin,BEN,96.41776339
Burkina Faso,BFA,68.15196637
Bangladesh,BGD,1213.573327
Bulgaria,BGR,65.65790346
Bahrain,BHR,1832.636175
"Bahamas, The",BHS,37.75534466
Bosnia and Herzegovina,BIH,66.13802734
Belarus,BLR,46.8083514
Belize,BLZ,16.15081105
Bermuda,BMU,1195.462942
Bolivia,BOL,10.18352534
Brazil,BRA,24.66614079
Barbados,BRB,664.6418605
Brunei Darussalam,BRN,79.65844402
Bhutan,BTN,19.31388997
Botswana,BWA,3.81123992
Central African Republic,CAF,7.283840573
Canada,CAN,3.970907493
Central Europe and the Baltics,CEB,93.20299539
Switzerland,CHE,211.8974034
Channel Islands,CHI,843.045487
Chile,CHL,24.48995771
China,CHN,146.8506776
Cote d'Ivoire,CIV,74.91419497
Cameroon,CMR,50.61568192
"Congo, Dem. Rep.",COD,34.75403145
"Congo, Rep.",COG,14.58564861
Colombia,COL,43.41720775
Comoros,COM,427.5077775
Cabo Verde,CPV,131.7980149
Costa Rica,CRI,95.9527027
Caribbean small states,CSS,17.95575151
Cuba,CUB,108.9704768
Curacao,CUW,359.6036036
Cayman Islands,CYM,260.7041667
Cyprus,CYP,126.6436147
Czech Republic,CZE,136.8341362
Germany,DEU,235.7129294
Djibouti,DJI,40.0824849
Dominica,DMA,95.076
Denmark,DNK,136.4136699
Dominican Republic,DOM,215.2296212
Algeria,DZA,17.02595749
East Asia & Pacific (excluding high income),EAP,129.017303
Early-demographic dividend,EAR,95.6012443
East Asia & Pacific,EAS,94.21395048
Europe & Central Asia (excluding high income),ECA,18.27239042
Europe & Central Asia,ECS,33.229176
Ecuador,ECU,66.40004429
"Egypt, Arab Rep.",EGY,94.87877041
Euro area,EMU,127.146936
Eritrea,ERI,
Spain,ESP,93.04827901
Estonia,EST,30.2689211
Ethiopia,ETH,103.603501
European Union,EUU,120.6075694
Fragile and conflict affected situations,FCS,38.14054369
Finland,FIN,18.08200783
Fiji,FJI,47.75035577
France,FRA,122.1055871
Faroe Islands,FRO,34.50787815
"Micronesia, Fed. Sts.",FSM,157.45
Gabon,GAB,7.792420538
United Kingdom,GBR,271.134481
Georgia,GEO,65.21405578
Ghana,GHA,125.1733585
Gibraltar,GIB,3373.7
Guinea,GIN,47.77161403
"Gambia, The",GMB,212.3655138
Guinea-Bissau,GNB,63.38680654
Equatorial Guinea,GNQ,43.32188948
Greece,GRC,83.5994647
Grenada,GRD,324.2970588
Greenland,GRL,0.136888781
Guatemala,GTM,154.7504666
Guam,GUM,301.7611111
Guyana,GUY,3.918547117
High income,HIC,34.09689091
