Country Name,Country Code,"Population, total"
Aruba,ABW,104872
Afghanistan,AFG,35383128
Angola,AGO,28842484
Albania,ALB,2876101
Andorra,AND,77297
Arab World,ARB,404024433
United Arab Emirates,ARE,9360980
Argentina,ARG,43590368
Armenia,ARM,2936146
American Samoa,ASM,55741
Antigua and Barbuda,ATG,94527
Australia,AUS,24190907
Austria,AUT,8736668
Azerbaijan,AZE,9757812
Burundi,BDI,10487998
Belgium,BEL,11331422
Benin,BEN,10872067
Burkina Faso,BFA,18646378
Bangladesh,BGD,157970840
Bulgaria,BGR,7127822
Bahrain,BHR,1425791
"Bahamas, The",BHS,377931
Bosnia and Herzegovina,BIH,3386267
Belarus,BLR,9501534
Belize,BLZ,368400
Bermuda,BMU,64555
Bolivia,BOL,11031813
Brazil,BRA,206163058
Barbados,BRB,285796
Brunei Darussalam,BRN,419800
Bhutan,BTN,736709
Botswana,BWA,2159944
Central African Republic,CAF,4537687
Canada,CAN,36109487
Central Europe and the Baltics,CEB,102994343
Switzerland,CHE,8373338
Channel Islands,CHI,166923
Chile,CHL,18209068
China,CHN,1378665000
Cote d'Ivoire,CIV,23822714
Cameroon,CMR,23926539
"Congo, Dem. Rep.",COD,78789127
"Congo, Rep.",COG,4980999
Colombia,COL,48171392
Comoros,COM,795592
Cabo Verde,CPV,531146
Costa Rica,CRI,4899345
Caribbean small states,CSS,7269386
Cuba,CUB,11335109
Curacao,CUW,159664
Cayman Islands,CYM,62569
Cyprus,CYP,1170187
Czech Republic,CZE,10566332
Germany,DEU,82348669
Djibouti,DJI,929112
Dominica,DMA,71307
Denmark,DNK,5728010
Dominican Republic,DOM,10397743
Algeria,DZA,40551404
East Asia & Pacific (excluding high income),EAP,2053116851
Early-demographic dividend,EAR,3165142287
East Asia & Pacific,EAS,2298514046
Europe & Central Asia (excluding high income),ECA,413361214
Europe & Central Asia,ECS,911812364
Ecuador,ECU,16491115
"Egypt, Arab Rep.",EGY,94447072
Euro area,EMU,340616924
Eritrea,ERI,
Spain,ESP,46483569
Estonia,EST,1315790
Ethiopia,ETH,103603501
European Union,EUU,511218529
Fragile and conflict affected situations,FCS,493290951
Finland,FIN,5495303
Fiji,FJI,872399
France,FRA,66859768
Faroe Islands,FRO,48173
"Micronesia, Fed. Sts.",FSM,110215
Gabon,GAB,2007873
United Kingdom,GBR,65595565
Georgia,GEO,3727505
Ghana,GHA,28481946
Gibraltar,GIB,33737
Guinea,GIN,11738441
"Gambia, The",GMB,2149139
Guinea-Bissau,GNB,1782437
Equatorial Guinea,GNQ,1215179
Greece,GRC,10775971
Grenada,GRD,110261
Greenland,GRL,56186
Guatemala,GTM,16583060
Guam,GUM,162951
Guyana,GUY,771366
High income,HIC,1198350350
"Hong Kong SAR, China",HKG,7336600
Honduras,HND,9270795
Heavily indebted poor countries (HIPC),HPC,738387254
Croatia,HRV,4174349
Haiti,HTI,10839970
Hungary,HUN,9814023
IBRD only,IBD,4687686335
IDA & IBRD total,IBT,6256138021
IDA total,IDA,1568451686
IDA blend,IDB,531399044
Indonesia,IDN,261554226
IDA only,IDX,1037052642
Isle of Man,IMN,83287
India,IND,1324509589
Not classified,INX,
Ireland,IRL,4755335
"Iran, Islamic Rep.",IRN,79564016
Iraq,IRQ,36610632
Iceland,ISL,335439
Israel,ISR,8546000
Italy,ITA,60627498
Jamaica,JAM,2906238
Jordan,JOR,9551467
Japan,JPN,126994511
Kazakhstan,KAZ,17794055
Kenya,KEN,49051686
Kyrgyz Republic,KGZ,6079500
Cambodia,KHM,15766293
Kiribati,KIR,112524
St. Kitts and Nevis,KNA,51625
"Korea, Rep.",KOR,51245707
Kuwait,KWT,3956873
Latin America & Caribbean (excluding high income),LAC,597399287
Lao PDR,LAO,6845846
Lebanon,LBN,6711121
Liberia,LBR,4586788
Libya,LBY,6492164
St. Lucia,LCA,180024
Latin America & Caribbean,LCN,629240066
Least developed countries: UN classification,LDC,963511276
Low income,LIC,670117389
Liechtenstein,LIE,37658
Sri Lanka,LKA,21203000
Lower middle income,LMC,2939830821
Low & middle income,LMY,6227752871
Lesotho,LSO,2075001
Late-demographic dividend,LTE,2262158994
Lithuania,LTU,2868231
Luxembourg,LUX,582014
Latvia,LVA,1959537
"Macao SAR, China",MAC,612836
St. Martin (French part),MAF,36065
Morocco,MAR,35126296
Monaco,MCO,38070
Moldova,MDA,3551954
Madagascar,MDG,24894380
Maldives,MDV,475513
Middle East & North Africa,MEA,433597626
Mexico,MEX,123333376
Marshall Islands,MHL,57735
Middle income,MIC,5557635482
North Macedonia,MKD,2080745
Mali,MLI,17965429
Malta,MLT,455356
Myanmar,MMR,53045226
Middle East & North Africa (excluding high income),MNA,370276461
Montenegro,MNE,622303
Mongolia,MNG,3056359
Northern Mariana Islands,MNP,56188
Mozambique,MOZ,27829942
Mauritania,MRT,4163534
Mauritius,MUS,1263473
Malawi,MWI,17205289
Malaysia,MYS,30684804
North America,NAC,359245384
Namibia,NAM,2358041
New Caledonia,NCL,276550
Niger,NER,20788838
Nigeria,NGA,185960289
Nicaragua,NIC,6303974
Netherlands,NLD,17030314
Norway,NOR,5234519
Nepal,NPL,27261131
Nauru,NRU,13049
New Zealand,NZL,4693200
OECD members,OED,1288747101
Oman,OMN,4479219
Other small states,OSS,29542879
Pakistan,PAK,203627284
Panama,PAN,4037078
Peru,PER,30926032
Philippines,PHL,103663927
Palau,PLW,17725
Papua New Guinea,PNG,8271760
Poland,POL,37970087
Pre-demographic dividend,PRE,869943914
Puerto Rico,PRI,3406495
"Korea, Dem. People’s Rep.",PRK,25307744
Portugal,PRT,10325452
Paraguay,PRY,6777872
West Bank and Gaza,PSE,4367088
Pacific island small states,PSS,2388307
Post-demographic dividend,PST,1101992071
French Polynesia,PYF,274575
Qatar,QAT,2654374
Romania,ROU,19702332
Russian Federation,RUS,144342396
Rwanda,RWA,11668818
South Asia,SAS,1771167194
Saudi Arabia,SAU,32442572
Sudan,SDN,39847440
Senegal,SEN,14993528
Singapore,SGP,5607283
Solomon Islands,SLB,619437
Sierra Leone,SLE,7328838
El Salvador,SLV,6356143
San Marino,SMR,33504
Somalia,SOM,14185613
Serbia,SRB,7058322
Sub-Saharan Africa (excluding high income),SSA,1022431864
South Sudan,SSD,10832512
Sub-Saharan Africa,SSF,1022526541
Small states,SST,39200572
Sao Tome and Principe,STP,203227
Suriname,SUR,564888
Slovak Republic,SVK,5430798
Slovenia,SVN,2065042
Sweden,SWE,9923085
Eswatini,SWZ,1113984
Sint Maarten (Dutch part),SXM,39969
Seychelles,SYC,94677
Syrian Arab Republic,SYR,17453933
Turks and Caicos Islands,TCA,36559
Chad,TCD,14561666
East Asia & Pacific (IDA & IBRD countries),TEA,2027771091
Europe & Central Asia (IDA & IBRD countries),TEC,455505650
Togo,TGO,7509952
Thailand,THA,68971331
Tajikistan,TJK,8663579
Turkmenistan,TKM,5662372
Latin America & the Caribbean (IDA & IBRD countries),TLA,613258172
Timor-Leste,TLS,1219288
Middle East & North Africa (IDA & IBRD countries),TMN,365909373
Tonga,TON,101133
South Asia (IDA & IBRD),TSA,1771167194
Sub-Saharan Africa (IDA & IBRD countries),TSS,1022526541
Trinidad and Tobago,TTO,1377564
Tunisia,TUN,11303946
Turkey,TUR,79821724
Tuvalu,TUV,11225
Tanzania,TZA,53050790
Uganda,UGA,39647506
Ukraine,UKR,45004645
Upper middle income,UMC,2617804661
Uruguay,URY,3424132
United States,USA,323071342
Uzbekistan,UZB,31847900
St. Vincent and the Grenadines,VCT,109459
"Venezuela, RB",VEN,29846179
British Virgin Islands,VGB,29355
Virgin Islands (U.S.),VIR,107510
Vietnam,VNM,93638724
Vanuatu,VUT,278330
World,WLD,7426103221
Samoa,WSM,194535
Kosovo,XKX,1816200
"Yemen, Rep.",YEM,27168210
South Africa,ZAF,56203654
Zambia,ZMB,16363507
Zimbabwe,ZWE,14030390
