Country1,Happiness Rank1,Happiness Score1,Latitude1,Longitude1,Country2,Happiness Rank2,Happiness Score2,Latitude2,Longitude2,Latitude Distance,Longitude Distance,Distance,Rank Difference,Score Difference
Denmark,1,7.526,56.26392,9.501785,Iceland,3,7.501,64.96305100000001,-19.020835,8.699131000000008,28.522620000000003,29.81970375137153,2,0.024999999999999467
Denmark,1,7.526,56.26392,9.501785,Norway,4,7.497999999999999,60.472024,8.468946,4.208103999999999,1.0328389999999992,4.3330007702211395,3,0.02800000000000047
Denmark,1,7.526,56.26392,9.501785,Finland,5,7.412999999999999,61.92411,25.748151,5.66019,-16.246366000000002,17.204132033963702,4,0.11300000000000043
Denmark,1,7.526,56.26392,9.501785,Canada,6,7.404,56.130366,-106.346771,0.13355399999999662,115.848556,115.84863298268155,5,0.12199999999999989
Denmark,1,7.526,56.26392,9.501785,Netherlands,7,7.3389999999999995,52.132633,5.291266,4.131287,4.210519,5.898813654094355,6,0.18700000000000028
Denmark,1,7.526,56.26392,9.501785,New Zealand,8,7.334,-40.900557,174.88597099999996,97.164477,-165.38418599999994,191.81466202969497,7,0.19200000000000017
Denmark,1,7.526,56.26392,9.501785,Australia,9,7.313,-25.274398,133.775136,81.538318,-124.273351,148.63499948208138,8,0.21300000000000008
Denmark,1,7.526,56.26392,9.501785,Sweden,10,7.291,60.128161,18.643501,3.864241,-9.141716,9.924884378708752,9,0.23499999999999943
Denmark,1,7.526,56.26392,9.501785,Israel,11,7.267,31.046051,34.851612,25.217869,-25.349827000000005,35.756882495976775,10,0.25899999999999945
Denmark,1,7.526,56.26392,9.501785,Austria,12,7.119,47.516231,14.550072,8.747689000000001,-5.048287,10.099864577066864,11,0.40700000000000003
Denmark,1,7.526,56.26392,9.501785,United States,13,7.104,37.09024,-95.712891,19.173679999999997,105.214676,106.94745462388235,12,0.4219999999999997
Denmark,1,7.526,56.26392,9.501785,Costa Rica,14,7.087000000000001,9.748917,-83.753428,-46.515003,93.255213,104.21218861421814,13,0.43899999999999917
Denmark,1,7.526,56.26392,9.501785,Puerto Rico,15,7.039,18.220833,-66.590149,38.043087,76.091934,85.0720805455581,14,0.4870000000000001
Denmark,1,7.526,56.26392,9.501785,Germany,16,6.994,51.165691,10.451526,5.098228999999996,-0.9497409999999995,5.185937418010553,15,0.532
Denmark,1,7.526,56.26392,9.501785,Brazil,17,6.952000000000001,-14.235004,-51.92528,70.498924,61.427065,93.50605648658274,16,0.573999999999999
Denmark,1,7.526,56.26392,9.501785,Belgium,18,6.928999999999999,50.503887,4.469936,5.760033,5.031849,7.648364826542337,17,0.5970000000000004
Denmark,1,7.526,56.26392,9.501785,Ireland,19,6.907,53.41291,-8.243889999999999,2.8510100000000023,17.745675,17.97323674872517,18,0.6189999999999998
Denmark,1,7.526,56.26392,9.501785,Luxembourg,20,6.871,49.815273,6.129583,6.448647000000001,3.3722019999999997,7.277141915574618,19,0.6549999999999994
Denmark,1,7.526,56.26392,9.501785,Mexico,21,6.778,23.634501,-102.552784,32.629419,112.054569,116.70863471934423,20,0.7480000000000002
Denmark,1,7.526,56.26392,9.501785,Singapore,22,6.739,1.352083,103.819836,54.911837,-94.318051,109.1384652043136,21,0.7869999999999999
Denmark,1,7.526,56.26392,9.501785,United Kingdom,23,6.725,55.378051,-3.435973,0.8858689999999996,12.937758,12.968050969660977,22,0.8010000000000002
Denmark,1,7.526,56.26392,9.501785,Chile,24,6.705,-35.675147,-71.542969,91.939067,81.044754,122.56036958067237,23,0.8209999999999997
Denmark,1,7.526,56.26392,9.501785,Panama,25,6.7010000000000005,8.537981,-80.782127,-47.725939,90.283912,102.12223077986235,24,0.8249999999999993
Denmark,1,7.526,56.26392,9.501785,Argentina,26,6.65,-38.416097,-63.616672,94.68001699999999,73.118457,119.62698012229991,25,0.8759999999999994
Denmark,1,7.526,56.26392,9.501785,Czech Republic,27,6.596,49.817492,15.472962,6.446427999999997,-5.971177000000001,8.787001122368938,26,0.9299999999999997
Denmark,1,7.526,56.26392,9.501785,United Arab Emirates,28,6.5729999999999995,23.424076,53.847818,32.839844,-44.346033,55.18175420174158,27,0.9530000000000003
Denmark,1,7.526,56.26392,9.501785,Uruguay,29,6.545,-32.522779,-55.765835,88.786699,65.26762000000001,110.19500959563007,28,0.9809999999999999
Denmark,1,7.526,56.26392,9.501785,Malta,30,6.4879999999999995,35.937496,14.375416,20.326423999999996,-4.873631,20.90253074993401,29,1.0380000000000003
Denmark,1,7.526,56.26392,9.501785,Colombia,31,6.481,4.570868,-74.297333,51.693052,83.79911799999999,98.46046822279806,30,1.045
Denmark,1,7.526,56.26392,9.501785,France,32,6.478,46.227638,2.213749,10.036282,7.288036,12.40332314828651,31,1.048
Denmark,1,7.526,56.26392,9.501785,Thailand,33,6.474,15.870032,100.992541,40.393888,-91.490756,100.01112248749176,32,1.0519999999999996
