Country,Happiness Rank,Happiness Score,Latitude,Longitude
Denmark,1,7.526,56.26392,9.501785
Switzerland,2,7.5089999999999995,46.818188,8.227511999999999
Iceland,3,7.501,64.96305100000001,-19.020835
Norway,4,7.497999999999999,60.472024,8.468946
Finland,5,7.412999999999999,61.92411,25.748151
Canada,6,7.404,56.130366,-106.346771
Netherlands,7,7.3389999999999995,52.132633,5.291266
New Zealand,8,7.334,-40.900557,174.88597099999996
Australia,9,7.313,-25.274398,133.775136
Sweden,10,7.291,60.128161,18.643501
Israel,11,7.267,31.046051,34.851612
Austria,12,7.119,47.516231,14.550072
United States,13,7.104,37.09024,-95.712891
Costa Rica,14,7.087000000000001,9.748917,-83.753428
Puerto Rico,15,7.039,18.220833,-66.590149
Germany,16,6.994,51.165691,10.451526
Brazil,17,6.952000000000001,-14.235004,-51.92528
Belgium,18,6.928999999999999,50.503887,4.469936
Ireland,19,6.907,53.41291,-8.243889999999999
Luxembourg,20,6.871,49.815273,6.129583
Mexico,21,6.778,23.634501,-102.552784
Singapore,22,6.739,1.352083,103.819836
United Kingdom,23,6.725,55.378051,-3.435973
Chile,24,6.705,-35.675147,-71.542969
Panama,25,6.7010000000000005,8.537981,-80.782127
Argentina,26,6.65,-38.416097,-63.616672
Czech Republic,27,6.596,49.817492,15.472962
United Arab Emirates,28,6.5729999999999995,23.424076,53.847818
Uruguay,29,6.545,-32.522779,-55.765835
Malta,30,6.4879999999999995,35.937496,14.375416
Colombia,31,6.481,4.570868,-74.297333
France,32,6.478,46.227638,2.213749
Thailand,33,6.474,15.870032,100.992541
Saudi Arabia,34,6.379,23.885942,45.079162
Taiwan,34,6.379,23.69781,120.960515
Qatar,36,6.375,25.354826,51.183884
Spain,37,6.361000000000001,40.463667,-3.74922
Algeria,38,6.355,28.033886,1.6596259999999998
Guatemala,39,6.324,15.783471,-90.230759
Suriname,40,6.269,3.919305000000001,-56.02778299999999
Kuwait,41,6.239,29.31166,47.481766
Bahrain,42,6.218,25.930414000000006,50.637772
Trinidad and Tobago,43,6.167999999999999,10.691803,-61.222503
Venezuela,44,6.084,6.42375,-66.58973
Slovakia,45,6.077999999999999,48.669026,19.699024
El Salvador,46,6.068,13.794185,-88.89653
Malaysia,47,6.005,4.210483999999999,101.975766
Nicaragua,48,5.992000000000001,12.865416,-85.207229
Uzbekistan,49,5.987,41.377491,64.585262
Italy,50,5.977,41.87194,12.56738
Ecuador,51,5.976,-1.831239,-78.183406
Belize,52,5.956,17.189877,-88.49765
Japan,53,5.921,36.204824,138.252924
Kazakhstan,54,5.919,48.019573,66.923684
Moldova,55,5.897,47.411631,28.369885
Russia,56,5.856,61.52401,105.318756
Poland,57,5.835,51.919438,19.145136
South Korea,57,5.835,35.90775700000001,127.766922
Bolivia,59,5.822,-16.290154,-63.588653
