Country,Happiness Rank,Happiness Score,GDP (current US$),PPP,Population Total
Denmark,1,7.526,312000000000.0,290377000000.0,5728010.0
Switzerland,2,7.5089999999999995,670000000000.0,537701000000.0,8373338.0
Iceland,3,7.501,20716024757.0,17638152067.0,335439.0
Norway,4,7.497999999999999,371000000000.0,304327000000.0,5234519.0
Finland,5,7.412999999999999,239000000000.0,240309000000.0,5495303.0
Canada,6,7.404,1530000000000.0,1625350000000.0,36109487.0
Netherlands,7,7.3389999999999995,784000000000.0,874312000000.0,17030314.0
New Zealand,8,7.334,188000000000.0,183610000000.0,4693200.0
Australia,9,7.313,1210000000000.0,1145490000000.0,24190907.0
Sweden,10,7.291,512000000000.0,487065000000.0,9923085.0
Israel,11,7.267,319000000000.0,320589000000.0,8546000.0
Austria,12,7.119,394000000000.0,451297000000.0,8736668.0
United States,13,7.104,18700000000000.0,18707200000000.0,323071342.0
Costa Rica,14,7.087000000000001,57157995873.0,79754486839.0,4899345.0
Puerto Rico,15,7.039,104000000000.0,130752000000.0,3406495.0
Germany,16,6.994,3500000000000.0,4110960000000.0,82348669.0
Brazil,17,6.952000000000001,1800000000000.0,3160800000000.0,206163058.0
Belgium,18,6.928999999999999,470000000000.0,535004000000.0,11331422.0
Ireland,19,6.907,302000000000.0,337276000000.0,4755335.0
Luxembourg,20,6.871,58961235412.0,61159237905.0,582014.0
Mexico,21,6.778,1080000000000.0,2316430000000.0,123333376.0
Singapore,22,6.739,318000000000.0,512797000000.0,5607283.0
United Kingdom,23,6.725,2660000000000.0,2819120000000.0,65595565.0
Chile,24,6.705,250000000000.0,416517000000.0,18209068.0
Panama,25,6.7010000000000005,57957600000.0,93643298813.0,4037078.0
Argentina,26,6.65,558000000000.0,877492000000.0,43590368.0
Czech Republic,27,6.596,195000000000.0,372257000000.0,10566332.0
United Arab Emirates,28,6.5729999999999995,357000000000.0,677605000000.0,9360980.0
Uruguay,29,6.545,52687612262.0,74715447126.0,3424132.0
Malta,30,6.4879999999999995,11442612409.0,17457901035.0,455356.0
Colombia,31,6.481,283000000000.0,686905000000.0,48171392.0
France,32,6.478,2470000000000.0,2811270000000.0,66859768.0
Thailand,33,6.474,412000000000.0,1169840000000.0,68971331.0
Saudi Arabia,34,6.379,645000000000.0,1757080000000.0,32442572.0
Taiwan,34,6.379,,,
Qatar,36,6.375,152000000000.0,328011000000.0,2654374.0
Spain,37,6.361000000000001,1240000000000.0,1706680000000.0,46483569.0
Algeria,38,6.355,160000000000.0,610316000000.0,40551404.0
Guatemala,39,6.324,68663653469.0,131924000000.0,16583060.0
Suriname,40,6.269,3167164371.0,8259820883.0,564888.0
Kuwait,41,6.239,109000000000.0,299493000000.0,3956873.0
Bahrain,42,6.218,32250132979.0,67319507670.0,1425791.0
Trinidad and Tobago,43,6.167999999999999,21746391333.0,43515095891.0,1377564.0
Venezuela,44,6.084,,,
Slovakia,45,6.077999999999999,89848359305.0,167790000000.0,5430798.0
El Salvador,46,6.068,24154120000.0,48853482644.0,6356143.0
Malaysia,47,6.005,297000000000.0,864868000000.0,30684804.0
Nicaragua,48,5.992000000000001,13286093197.0,34042833260.0,6303974.0
Uzbekistan,49,5.987,81779019096.0,202174000000.0,31847900.0
Italy,50,5.977,1870000000000.0,2367210000000.0,60627498.0
Ecuador,51,5.976,99937696000.0,185065000000.0,16491115.0
Belize,52,5.956,1806646250.0,3090206268.0,368400.0
Japan,53,5.921,4930000000000.0,5221770000000.0,126994511.0
Kazakhstan,54,5.919,137000000000.0,450454000000.0,17794055.0
Moldova,55,5.897,8071480541.0,22819071050.0,3551954.0
Russia,56,5.856,1280000000000.0,3530790000000.0,144342396.0
Poland,57,5.835,472000000000.0,1053110000000.0,37970087.0
South Korea,57,5.835,1410000000000.0,1903410000000.0,51245707.0
Bolivia,59,5.822,33941126194.0,78853625517.0,11031813.0
Lithuania,60,5.813,42973365745.0,86907455410.0,2868231.0
Belarus,61,5.8020000000000005,47722657821.0,171963000000.0,9501534.0
North Cyprus,62,5.771,,,
Slovenia,63,5.768,44641210338.0,68526348293.0,2065042.0
Peru,64,5.742999999999999,192000000000.0,414539000000.0,30926032.0
Turkmenistan,65,5.6579999999999995,36180000000.0,95668470994.0,5662372.0
Mauritius,66,5.648,12232463656.0,26724030480.0,1263473.0
Libya,67,5.615,26221660068.0,97152136717.0,6492164.0
Latvia,68,5.56,27695474684.0,50634421573.0,1959537.0
Cyprus,69,5.546,20453761062.0,28682685569.0,1170187.0
Paraguay,70,5.537999999999999,36054281572.0,83286395428.0,6777872.0
Romania,71,5.528,188000000000.0,470258000000.0,19702332.0
Estonia,72,5.517,23984296771.0,40654683249.0,1315790.0
Jamaica,73,5.51,14072135209.0,25464389345.0,2906238.0
Croatia,74,5.4879999999999995,51623429121.0,102374000000.0,4174349.0
Hong Kong,75,5.457999999999999,321000000000.0,431064000000.0,7336600.0
Somalia,76,5.44,6839998517.0,,14185613.0
Kosovo,77,5.401,6714712389.0,18546149720.0,1816200.0
Turkey,78,5.388999999999999,864000000000.0,2087370000000.0,79821724.0
Indonesia,79,5.314,932000000000.0,3035210000000.0,261554226.0
Jordan,80,5.303,39252468265.0,85802416871.0,9551467.0
Azerbaijan,81,5.291,37867518957.0,169953000000.0,9757812.0
Philippines,82,5.279,305000000000.0,806934000000.0,103663927.0
China,83,5.245,11100000000000.0,21387600000000.0,1378665000.0
Bhutan,84,5.196000000000001,2219675781.0,7113912041.0,736709.0
Kyrgyzstan,85,5.185,6813092066.0,21690517215.0,6079500.0
