,Country,2018,2017,2016,2015,Disaster rate,Internet Access Rate,Average Sleeping (Hours)
0,Finland,7.63,7.47,7.41,7.41,2.21,0.8782860562920735,8.51
1,Norway,7.59,7.54,7.5,7.52,2.19,0.9767321505567178,8.09
2,Denmark,7.56,7.52,7.53,7.53,2.89,0.9669455884329812,8.13
3,Netherlands,7.44,7.38,7.34,7.38,8.24,0.901827646865466,8.45
4,Canada,7.33,7.32,7.4,7.43,3.01,0.9161526443175446,8.33
5,New Zealand,7.32,7.31,7.33,7.29,4.55,0.878600528424103,8.76
6,Sweden,7.31,7.28,7.29,7.36,2.12,0.8887802533183985,8.72
7,Australia,7.27,7.28,7.31,7.28,4.22,0.8800135108617465,8.56
8,Austria,7.14,7.01,7.12,7.2,3.39,0.8408656480937584,8.48
9,Ireland,6.98,6.98,6.91,6.94,4.6,0.8448809600164867,8.28
10,Germany,6.96,6.95,6.99,6.75,2.95,0.8917463863320001,8.21
11,Belgium,6.93,6.89,6.93,6.94,3.07,0.8672231958177888,8.39
12,United States,6.89,6.99,7.1,7.12,3.76,0.7596647492181464,8.75
13,United Kingdom,6.81,6.71,6.72,6.87,3.54,0.9505467023570876,8.06
14,France,6.49,6.44,6.48,6.58,2.62,0.7673387529552901,8.49
15,Mexico,6.49,6.58,6.78,7.19,5.97,0.6157144113204198,8.2
16,Spain,6.31,6.4,6.36,6.33,3.05,0.803256415186192,8.53
17,Poland,6.12,5.97,5.84,5.79,3.2,0.7379166658217032,8.44
18,Italy,6.0,5.96,5.98,5.95,4.42,0.601129292849921,8.28
19,Japan,5.92,5.92,5.92,5.99,12.99,0.9373597336029744,7.73
20,Estonia,5.74,5.61,5.52,5.43,2.36,0.8701532919386832,8.83
21,Turkey,5.48,5.5,5.39,5.33,5.2,0.5812164492964347,8.47
22,Portugal,5.41,5.2,5.12,5.1,3.45,0.7073850132662474,8.43
23,China,5.25,5.27,5.24,5.14,6.39,0.541583484022587,9.03
24,South Africa,4.72,4.83,4.46,4.64,5.58,0.5381919652412634,9.24
25,India,4.19,4.32,4.4,4.57,6.64,0.295396175497224,8.79
