,Country,2018,2017,2016,2015,Disaster rate,Internet Access Rate
0,Finland,7.63,7.47,7.41,7.41,2.21,0.8782860562920735
1,Norway,7.59,7.54,7.5,7.52,2.19,0.9767321505567178
2,Denmark,7.56,7.52,7.53,7.53,2.89,0.9669455884329812
3,Iceland,7.5,7.5,7.5,7.56,1.52,0.9737180232471476
4,Switzerland,7.49,7.49,7.51,7.59,2.37,0.8943702021822122
5,Netherlands,7.44,7.38,7.34,7.38,8.24,0.901827646865466
6,Canada,7.33,7.32,7.4,7.43,3.01,0.9161526443175446
7,New Zealand,7.32,7.31,7.33,7.29,4.55,0.878600528424103
8,Sweden,7.31,7.28,7.29,7.36,2.12,0.8887802533183985
9,Australia,7.27,7.28,7.31,7.28,4.22,0.8800135108617465
10,Austria,7.14,7.01,7.12,7.2,3.39,0.8408656480937584
11,Costa Rica,7.07,7.08,7.09,7.23,17.0,0.6546173008840978
12,Ireland,6.98,6.98,6.91,6.94,4.6,0.8448809600164867
13,Germany,6.96,6.95,6.99,6.75,2.95,0.8917463863320001
14,Belgium,6.93,6.89,6.93,6.94,3.07,0.8672231958177888
15,Luxembourg,6.91,6.86,6.87,6.95,2.43,0.9707996714855656
16,United States,6.89,6.99,7.1,7.12,3.76,0.7596647492181464
17,United Kingdom,6.81,6.71,6.72,6.87,3.54,0.9505467023570876
18,United Arab Emirates,6.77,6.65,6.57,6.9,1.97,0.8971570284307839
19,Czech Republic,6.71,6.61,6.6,6.5,3.37,0.7680413600481226
20,Malta,6.63,6.53,6.49,6.3,0.6,0.7287726526058732
21,France,6.49,6.44,6.48,6.58,2.62,0.7673387529552901
22,Mexico,6.49,6.58,6.78,7.19,5.97,0.6157144113204198
23,Chile,6.48,6.65,6.7,6.67,11.65,0.8218646885167324
24,Panama,6.43,6.45,6.7,6.79,7.26,0.5396041394295578
25,Brazil,6.42,6.64,6.95,6.98,4.09,0.6131242630287334
26,Argentina,6.39,6.6,6.65,6.57,3.56,0.7138750010093973
27,Guatemala,6.38,6.45,6.32,6.12,19.88,0.34508094404772105
28,Uruguay,6.38,6.45,6.54,6.48,4.03,0.6678539261920977
29,Qatar,6.37,6.38,6.38,6.61,0.74,0.91286947506267
30,Saudi Arabia,6.37,6.34,6.38,6.41,1.14,0.7449481502268069
31,Singapore,6.34,6.57,6.74,6.8,2.27,0.8467849758965258
32,Malaysia,6.32,6.08,6.0,5.77,6.39,0.8007846163853612
