,Country,Lat,Lng
0,Somaliland,9.55,44.05
1,South Georgia and South Sandwich Islands,-54.283333,-36.5
2,French Southern and Antarctic Lands,-49.35,70.216667
3,Palestine,31.76666667,35.233333
4,Aland Islands,60.11666700000001,19.9
5,Nauru,-0.5477,166.920867
6,Saint Martin,18.0731,-63.0822
7,Tokelau,-9.166667,-171.833333
8,Western Sahara,27.153610999999998,-13.203332999999999
9,Afghanistan,34.51666667,69.18333299999999
10,Albania,41.31666667,19.816667000000002
11,Algeria,36.75,3.05
12,American Samoa,-14.26666667,-170.7
13,Andorra,42.5,1.516667
14,Angola,-8.833333332999999,13.216667000000001
15,Anguilla,18.21666667,-63.05
16,Antigua and Barbuda,17.11666667,-61.85
17,Argentina,-34.58333333,-58.666667000000004
18,Armenia,40.16666667,44.5
19,Aruba,12.51666667,-70.033333
20,Australia,-35.26666667,149.133333
21,Austria,48.2,16.366667
22,Azerbaijan,40.38333333,49.866667
23,Bahamas,25.08333333,-77.35
24,Bahrain,26.23333333,50.566666999999995
25,Bangladesh,23.71666667,90.4
26,Barbados,13.1,-59.61666700000001
27,Belarus,53.9,27.566667
28,Belgium,50.83333333,4.3333330000000005
29,Belize,17.25,-88.766667
30,Benin,6.483333332999999,2.6166669999999996
31,Bermuda,32.28333333,-64.783333
32,Bhutan,27.46666667,89.633333
33,Bolivia,-16.5,-68.15
34,Bosnia and Herzegovina,43.86666667,18.416667
35,Botswana,-24.63333333,25.9
36,Brazil,-15.78333333,-47.916667
37,British Virgin Islands,18.41666667,-64.616667
38,Brunei Darussalam,4.883333333,114.933333
39,Bulgaria,42.68333333,23.316667000000002
40,Burkina Faso,12.36666667,-1.516667
41,Myanmar,16.8,96.15
42,Burundi,-3.366666667,29.35
43,Cambodia,11.55,104.91666699999999
44,Cameroon,3.866666667,11.516667
45,Canada,45.41666667,-75.7
46,Cape Verde,14.91666667,-23.516667
47,Cayman Islands,19.3,-81.383333
48,Central African Republic,4.366666667,18.583333
49,Chad,12.1,15.033332999999999
50,Chile,-33.45,-70.666667
51,China,39.91666667,116.38333300000001
52,Christmas Island,-10.41666667,105.71666699999999
53,Cocos Islands,-12.16666667,96.833333
54,Colombia,4.6,-74.083333
55,Comoros,-11.7,43.233333
56,Democratic Republic of the Congo,-4.316666667,15.3
57,Republic of Congo,-4.25,15.283332999999999
58,Cook Islands,-21.2,-159.76666699999998
59,Costa Rica,9.933333333,-84.083333
60,Cote d'Ivoire,6.816666667000001,-5.266667
61,Croatia,45.8,16.0
62,Cuba,23.11666667,-82.35
63,Curaçao,12.1,-68.916667
64,Cyprus,35.16666667,33.366667
65,Czech Republic,50.08333333,14.466667000000001
66,Denmark,55.66666667,12.583333
67,Djibouti,11.58333333,43.15
68,Dominica,15.3,-61.4
69,Dominican Republic,18.46666667,-69.9
70,Ecuador,-0.21666666699999998,-78.5
71,Egypt,30.05,31.25
72,El Salvador,13.7,-89.2
73,Equatorial Guinea,3.75,8.783333
74,Eritrea,15.33333333,38.933333000000005
75,Estonia,59.43333333,24.716667
76,Ethiopia,9.033333333,38.7
77,Falkland Islands,-51.7,-57.85
78,Faroe Islands,62.0,-6.766667
79,Fiji,-18.13333333,178.416667
80,Finland,60.16666667,24.933332999999998
81,France,48.86666667,2.333333
82,French Polynesia,-17.53333333,-149.566667
83,Gabon,0.38333333299999994,9.45
84,The Gambia,13.45,-16.566667000000002
85,Georgia,41.68333333,44.833333
86,Germany,52.51666667,13.4
87,Ghana,5.55,-0.216667
88,Gibraltar,36.13333333,-5.35
89,Greece,37.98333333,23.733333
90,Greenland,64.18333333,-51.75
91,Grenada,12.05,-61.75
